label,summary
1,The CMA is investigating the anticipated acquisition by Platinum Equity LLC of Wesco Aircraft Holdings Inc
1,The CMA is investigating the completed acquisition by Danspin A/S of certain assets and goodwill of LY Realisations Limited (previously known as Lawton Yarns Limited).
1,"The CMA investigated and cleared the completed acquisition by Kohlberg & Company, LLC, through KNPAK Acquisition Limited, of certain subsidiaries of Bemis Company, Inc."
1,"The CMA investigated and cleared the completed acquisition by Kohlberg & Company of Nelipak Corporation, Inc."
1,The CMA is investigating the anticipated acquisition by LN-Gaiety Holdings Limited of MCD Productions Unlimited Company.
1,"The CMA is investigating the completed acquisition by Bottomline Technologies (de), Inc of Experian Limited’s Experian Payments Gateway business and related assets."
1,The CMA is investigating the anticipated acquisition by Prosafe SE of Floatel International Limited. 
1,"Live Nation-Gaiety’s proposed purchase of MCD does not raise competition concerns, an in-depth CMA investigation has provisionally found."
0,The CMA is investigating the award of the West Coast Partnership Rail Franchise to First Rail Holdings Ltd and Trenitalia UK Ltd.
1,The CMA has raised concerns on 21 routes between Preston and Scotland under the new award of the West Coast Rail franchise.
1,The CMA is investigating the completed acquisition by Tobii AB of Smartbox Assistive Technology Limited and Sensory Software International Ltd.
1,The CMA investigated and cleared the anticipated acquisition by Unite Group plc of Liberty Living Group plc.
0,"Letter to Dixons Carphone (trading as Currys PC World) about the Supply of Extended
Warranties on Domestic Electrical Goods Order 2005."
1,"The CMA is investigating the completed acquisition by Salesforce.com, Inc. of Tableau Software Inc."
1,The CMA has found that woollen yarn producer Danspin’s purchase of competitor Lawton Yarns poses serious competition concerns for carpet manufacturers in the UK.
0,Currys PC World has agreed to change how it sells extended warranties after its staff gave mystery shoppers incorrect information.
0,What extended warranties are and how you can decide whether you need to buy one.
0,The minutes of the CMA board meeting on 17 July 2019
0,"The Competition and Markets authority’s response to Ofgem, clarifying our position on potential Energy Licence Modification Appeals."
0,The minutes of the CMA board meeting on 19 June 2019
0,The CMA is conducting an investigation into suspected anti-competitive behaviour in relation to the supply of groundworks products to the construction industry in the United Kingdom.
1,"The CMA is investigating the completed acquisitions by Bauer Media Group of certain businesses of Celador Entertainment Limited, Lincs FM Group Limited and Wireless Group Limited, as well as the entire business of UKRD Group…"
1,The CMA is investigating the anticipated acquisition by Connect Bidco Limited of Inmarsat plc.
1,Advent International Corporation proposes to acquire Cobham Plc.
1,The CMA investigated and cleared the anticipated acquisition by CGI Group Holdings Europe Limited of SCISYS Group plc.
0,Data about how long the Competition and Markets Authority takes to pay invoices
0,How long the CMA takes to pay invoices.
0,The CMA has launched a review of Ocado Group plc’s designation under the Order.
